,Bowler,Overs,Maidens,Runs,Wickets,Economy,Dot Balls,Fours,Sixes,Wide,No Balls
0,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0
1,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0
2,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0
3,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0
4,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0
5,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0
6,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0
7,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0
8,Chamika Karunaratne,4,0,36,1,9.00,7,3,1,1,0
9,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0
10,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0
11,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0
12,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0
13,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0
14,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0
15,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0
16,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0
17,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0
18,Logan van Beek,2,0,19,0,9.50,5,0,2,1,0
19,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0
20,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0
21,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0
22,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0
23,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0
24,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0
25,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0
26,Jason Holder,3,0,14,2,4.66,8,1,0,0,0
27,Odean Smith,4,0,31,1,7.75,6,3,0,1,0
28,Kyle Mayers,2,0,24,0,12.00,5,5,0,2,0
29,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0
30,Alzarri Joseph,4,0,28,2,7.00,9,3,0,2,0
31,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0
32,Jason Holder,3,0,14,2,4.66,8,1,0,0,0
33,Odean Smith,4,0,31,1,7.75,6,3,0,1,0
34,Josh Little,4,0,24,3,6.00,11,3,0,0,0
35,Mark Adair,4,0,39,2,9.75,6,3,1,2,0
36,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0
37,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0
38,Simi Singh,3,0,31,2,10.33,5,2,2,1,0
39,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0
40,Josh Little,4,0,24,3,6.00,11,3,0,0,0
41,Mark Adair,4,0,39,2,9.75,6,3,1,2,0
42,Barry McCarthy,4,0,24,0,6.00,11,2,0,2,0
43,Curtis Campher,3,0,29,0,9.66,6,2,2,0,0
44,Simi Singh,3,0,31,2,10.33,5,2,2,1,0
45,Gareth Delany,2,0,21,0,10.50,4,2,1,1,0
46,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0
47,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0
48,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0
49,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
50,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
51,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
52,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
53,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0
54,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0
55,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0
56,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0
57,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0
58,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0
59,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0
60,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0
61,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0
62,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0
