,Name,DOB,Age,Batting_Style,Role
0,Michael van Lingen,"October 24, 1997",25y 151d,Left hand Bat,Left arm Medium
1,Divan la Cock,"February 23, 2003",20y 29d,Right hand Bat,Legbreak
2,Stephan Julian Baard,"April 29, 1992, Namibia",30y 329d,Right hand Bat,Right arm Medium fast
3,Merwe Gerhard Erasmus,"April 11, 1995, Windhoek, Namibia",27y 347d,Right hand Bat,Right arm Offbreak
4,Johannes Jonathan Smit,"November 10, 1995, keetmanshoop",27y 134d,Right hand Bat,Left arm Medium fast
5,Ben Shikongo,"May 08, 2000",22y 320d,Right hand Bat,Right arm Medium fast
6,Pathum Nissanka Silva,"May 18, 1998, Galle",24y 310d,Right hand Bat,Top order Batter
7,Chirag Suri,"February 18, 1995, New Delhi, India",28y 34d,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
8,Muhammad Waseem,"February 12, 1994",29y 40d,Right hand Bat,Right arm Medium
9,Kashif Daud,"February 10, 1986, Sialkot, Punjab",37y 42d,Right hand Bat,Right arm Medium fast
10,Zawar Farid,"July 25, 1992, Sahiwal",30y 242d,Right hand Bat,Right arm Medium
11,Basil Hameed,"April 15, 1992, Panniyankara, Kozhikode, Kerala",30y 343d,Right hand Bat,Right arm Offbreak
12,Chundangapoyil Puthiyapurayil Rizwan,"April 19, 1988, Tellicherry, Kerala",34y 339d,Right hand Bat,Legbreak Googly
13,Aayan Afzal Khan,"November 15, 2005",17y 129d,Right hand Bat,Slow Left arm Orthodox
14,Karthik Palaniapan Meiyappan,"October 08, 2000, Chennai, India",22y 167d,Right hand Bat,Legbreak
15,Muhammad Junaid Siddique,"December 06, 1992, Multan, Pakistan",30y 108d,Right hand Bat,Right arm Medium fast
16,Zahoor Khan,"May 25, 1989, Faisalabad, Punjab",33y 303d,Right hand Bat,Right arm Medium fast
17,Vikramjit Singh,"January 09, 2003, Cheema Khurd, Punjab",20y 74d,Left hand Bat,Right arm Medium fast
18,Scott Andrew Edwards,"August 23, 1996, Tonga",26y 213d,Right hand Bat,Wicketkeeper
19,Frederick Jack Klaassen,"November 13, 1992, Haywards Heath, Sussex",30y 131d,Right hand Bat,Left arm Fast medium
20,Paul Adriaan van Meekeren,"January 15, 1993, Amsterdam, Netherlands",30y 68d,Right hand Bat,Right arm Fast medium
21,Henry George Munsey,"February 21, 1993, Oxford",30y 31d,Left hand Bat,Right arm Medium fast
22,Michael Alexander Jones,"January 05, 1998, Ormskirk, Lancashire",25y 78d,Right hand Bat,Right arm Offbreak
23,Matthew Henry Cross,"October 15, 1992, Aberdeen",30y 160d,Right hand Bat,Wicketkeeper
24,Richard Douglas Berrington,"April 03, 1987, Pretoria, South Africa",35y 355d,Right hand Bat,Right arm Medium fast
25,Michael Alexander Leask,"October 29, 1990, Aberdeen",32y 146d,Right hand Bat,Right arm Offbreak
26,Christopher Nicholas Greaves,"October 12, 1990",32y 163d,Right hand Bat,Legbreak
27,Mark Robert James Watt,"July 29, 1996, Eastern General Hospital, Edinburgh",26y 238d,Left hand Bat,Slow Left arm Orthodox
28,Safyaan Mohammed Sharif,"May 24, 1991, Huddersfield, Yorkshire",31y 304d,Right hand Bat,Right arm Medium fast
29,Bradley Thomas James Wheal,"August 28, 1996, Durban, KwaZulu-Natal",26y 208d,Right hand Bat,Right arm Fast medium
30,Kyle Rico Mayers,"September 08, 1992, Barbados",30y 197d,Left hand Bat,Right arm Medium
31,Shamarh Shaqad Joshua Brooks,"October 01, 1988, St. Michael, Barbados",34y 174d,Right hand Bat,Legbreak
32,Rovman Powell,"July 23, 1993, Jamaica",29y 244d,Right hand Bat,Right arm Medium fast
33,Jason Omar Holder,"November 05, 1991, Barbados",31y 139d,Right hand Bat,Right arm Medium fast
34,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",26y 124d,Right hand Bat,Right arm Fast
35,Odean Fabian Smith,"November 01, 1996, St. Elizabeth, Jamaica",26y 143d,Right hand Bat,Right arm Fast medium
36,Obed  Christopher McCoy,"January 04, 1997",26y 79d,Left hand Bat,Left arm Fast medium
37,Wessly Nyasha Madhevere,"September 04, 2000, Harare",22y 201d,Right hand Bat,Right arm Offbreak
38,Jan Nicol Loftie-Eaton,"March 15, 2001",22y 9d,Left hand Bat,"Right arm Medium, Legbreak"
39,Jan Nicolaas Frylinck,"April 06, 1994, Bellville, Western Cape",28y 352d,Left hand Bat,Left arm Fast medium
40,David Wiese,"May 18, 1985, Roodepoort",37y 310d,Right hand Bat,Right arm Medium fast
41,Zane Edward Green,"October 11, 1996, Namibia",26y 164d,Left hand Bat,Wicketkeeper
42,Bernard Martinus Scholtz,"October 03, 1990, Keetmanshoop, Namibia",32y 172d,Right hand Bat,Slow Left arm Orthodox
43,Balapuwaduge Kusal Gimhan Mendis,"February 02, 1995, Moratuwa",28y 50d,Right hand Bat,Legbreak
44,Dhananjaya Maduranga de Silva,"September 06, 1991, Colombo",31y 199d,Right hand Bat,Right arm Offbreak
45,Mashtayage Danushka Gunathilaka,"March 17, 1991, Panadura",32y 7d,Dana,Left hand Bat
46,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991, Colombo",31y 151d,Left hand Bat,Right arm Medium
47,Madagamagamage Dasun Shanaka,"September 09, 1991, Negombo",31y 196d,Right hand Bat,Right arm Medium
48,Pinnaduwage Wanindu Hasaranga de Silva,"July 29, 1997, Galle",25y 238d,Right hand Bat,Legbreak
49,Chamika Karunaratne,"May 29, 1996, Colombo",26y 299d,Right hand Bat,Right arm Medium fast
50,Pramod Madushan Liyanagamage,"December 14, 1993, Hambantota",29y 100d,Right hand Bat,Right arm Medium fast
51,Pathira Vasan Dushmantha Chameera,"January 11, 1992, Ragama",31y 72d,Right hand Bat,Right arm Fast
52,Morawakage Maheesh Theekshana,"August 01, 2000, Colombo",22y 235d,Right hand Bat,Right arm Offbreak
53,Vriitya Aravind,"June 11, 2002, Chennai, India",20y 286d,Right hand Bat,Wicketkeeper
54,Maxwell Patrick O'Dowd,"March 04, 1994, Auckland",29y 20d,Right hand Bat,Right arm Offbreak
55,Bas de Leede,"November 15, 1999",23y 129d,Right hand Bat,Right arm Fast medium
