,0,1,2,3,4,5,6,7
0,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00
1,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00
2,Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,18,1,2,166.66
3,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33
4,Gerhard Erasmus (c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33
5,Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14
6,David Wiese,c †Mendis b Theekshana,0,1,4,0,0,0.00
7,JJ Smit,not out,31,16,29,2,2,193.75
8,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00
9,Kusal Mendis †,c †Green b Wiese,6,6,8,0,0,100.00
10,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09
11,Danushka Gunathilaka,c †Green b Shikongo,0,1,2,0,0,0.00
12,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23
13,Dasun Shanaka (c),c †Green b Frylinck,29,23,37,2,1,126.08
14,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00
15,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50
16,Pramod Madushan,run out (van Lingen/†Green),0,0,4,0,0,-
17,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33
18,Maheesh Theekshana,not out,11,11,14,0,1,100.00
19,Chirag Suri,c †Edwards b van der Merwe,12,20,28,1,0,60.00
20,Muhammad Waseem,c Pringle b Klaassen,41,47,71,1,2,87.23
21,Kashif Daud,b Pringle,15,14,19,0,1,107.14
22,Vriitya Aravind †,c Klaassen b de Leede,18,21,37,0,0,85.71
23,Zawar Farid,run out (Ackermann/†Edwards),2,4,8,0,0,50.00
24,Basil Hameed,c van der Merwe b de Leede,4,4,7,1,0,100.00
25,Chundangapoyil Rizwan (c),b de Leede,1,2,7,0,0,50.00
26,Aayan Afzal Khan,c Cooper b Klaassen,5,7,8,0,0,71.42
27,Karthik Meiyappan,not out,0,0,4,0,0,-
28,Junaid Siddique,not out,0,1,1,0,0,0.00
29,Vikramjit Singh,b Basil Hameed,10,7,8,2,0,142.85
30,Max O'Dowd,b Junaid Siddique,23,18,25,3,1,127.77
